positive  	{'Negative Emotion': 0, 'Positive Emotion': 15.0, 'liwc:positive': 1, 'UNI_awesome': 0.05, 'UNI_place': 0.05, 'UNI_eat': 0.05, 'UNI_friendly': 0.05, 'UNI_service': 0.05, 'UNI_i': 0.05, 'UNI_would': 0.05, 'UNI_return': 0.05, 'UNI_anytime': 0.05, 'UNI_tuesdays': 0.05, 'UNI_live': 0.05, 'UNI_music': 0.05, 'UNI_ca': 0.05, "UNI_n't": 0.05, 'UNI_beat': 0.05, 'UNI_the': 0.05, 'UNI_food': 0.05, 'UNI_great': 0.05, 'UNI_drinks': 0.05, 'UNI_strong': 0.05}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 11.11111111111111, 'liwc:positive': 1, 'UNI_i': 0.08888888888888889, 'UNI_going': 0.022222222222222223, 'UNI_riccardo': 0.022222222222222223, 'UNI_pizza': 0.022222222222222223, 'UNI_since': 0.022222222222222223, 'UNI_moved': 0.022222222222222223, 'UNI_browns': 0.022222222222222223, 'UNI_mills': 0.022222222222222223, 'UNI_1989': 0.022222222222222223, 'UNI_love': 0.022222222222222223, 'UNI_vito': 0.044444444444444446, 'UNI_staff': 0.022222222222222223, 'UNI_always': 0.06666666666666667, 'UNI_makes': 0.044444444444444446, 'UNI_family': 0.022222222222222223, 'UNI_feel': 0.022222222222222223, 'UNI_welcome': 0.022222222222222223, 'UNI_kids': 0.022222222222222223, 'UNI_smile': 0.022222222222222223, 'UNI_waiting': 0.022222222222222223, 'UNI_food': 0.022222222222222223, 'UNI_think': 0.022222222222222223, 'UNI_sauce': 0.044444444444444446, 'UNI_best': 0.022222222222222223, 'UNI_town': 0.022222222222222223, 'UNI_picky': 0.022222222222222223, 'UNI_the': 0.022222222222222223, 'UNI_prices': 0.022222222222222223, 'UNI_great': 0.022222222222222223, 'UNI_business': 0.022222222222222223, 'UNI_clean': 0.022222222222222223, 'UNI_service': 0.022222222222222223, 'UNI_prompt': 0.022222222222222223, 'UNI_courteous': 0.022222222222222223, 'UNI_very': 0.022222222222222223, 'UNI_enjoyable': 0.022222222222222223, 'UNI_perfecto': 0.022222222222222223}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 20.0, 'liwc:positive': 1, 'UNI_it': 0.06666666666666667, 'UNI_great': 0.13333333333333333, 'UNI_whole': 0.06666666666666667, 'UNI_wall': 0.06666666666666667, 'UNI_place': 0.06666666666666667, 'UNI_my': 0.06666666666666667, 'UNI_favorite': 0.06666666666666667, 'UNI_san': 0.06666666666666667, 'UNI_francisco': 0.06666666666666667, 'UNI_prices': 0.06666666666666667, 'UNI_and': 0.06666666666666667, 'UNI_i': 0.06666666666666667, 'UNI_love': 0.06666666666666667, 'UNI_food': 0.06666666666666667}
positive  	{'Negative Emotion': 1.639344262295082, 'Positive Emotion': 1.639344262295082, 'liwc:negative': 1, 'UNI_i': 0.058333333333333334, "UNI_n't": 0.008333333333333333, 'UNI_share': 0.008333333333333333, 'UNI_opinion': 0.008333333333333333, 'UNI_previous': 0.025, 'UNI_review': 0.008333333333333333, 'UNI_restaurant': 0.025, 'UNI_picky': 0.008333333333333333, 'UNI_eater': 0.008333333333333333, 'UNI_dined': 0.008333333333333333, 'UNI_numerous': 0.008333333333333333, 'UNI_times': 0.016666666666666666, 'UNI_never': 0.008333333333333333, 'UNI_bad': 0.008333333333333333, 'UNI_experience': 0.008333333333333333, 'UNI_maybe': 0.025, 'UNI_lucky': 0.008333333333333333, 'UNI_reviewer': 0.025, 'UNI_continually': 0.008333333333333333, 'UNI_unlucky': 0.008333333333333333, 'UNI_or': 0.008333333333333333, 'UNI_good': 0.008333333333333333, 'UNI_simple': 0.025, 'UNI_diner': 0.041666666666666664, 'UNI_the': 0.016666666666666666, 'UNI_silver': 0.025, 'UNI_spoon': 0.025, 'UNI_always': 0.016666666666666666, 'UNI_clean': 0.008333333333333333, 'UNI_staff': 0.008333333333333333, 'UNI_happy': 0.008333333333333333, 'UNI_on-the-ball': 0.008333333333333333, 'UNI_service': 0.008333333333333333, 'UNI_someone': 0.008333333333333333, 'UNI_shaving': 0.008333333333333333, 'UNI_bathroom': 0.008333333333333333, 'UNI_odd': 0.008333333333333333, 'UNI_really': 0.008333333333333333, 'UNI_control': 0.008333333333333333, 'UNI_did': 0.008333333333333333, 'UNI_inform': 0.008333333333333333, 'UNI_management': 0.016666666666666666, 'UNI_correct': 0.008333333333333333, 'UNI_problem': 0.008333333333333333, 'UNI_decor': 0.008333333333333333, 'UNI_very': 0.008333333333333333, 'UNI_1970': 0.008333333333333333, 'UNI_even': 0.008333333333333333, 'UNI_older': 0.008333333333333333, 'UNI_apart': 0.008333333333333333, 'UNI_charm': 0.008333333333333333, 'UNI_where': 0.008333333333333333, 'UNI_rip': 0.008333333333333333, 'UNI_taylor': 0.008333333333333333, 'UNI_shelley': 0.008333333333333333, 'UNI_winters': 0.008333333333333333, 'UNI_years': 0.008333333333333333, 'UNI_here': 0.008333333333333333, 'UNI_seen': 0.008333333333333333, 'UNI_many': 0.016666666666666666, 'UNI_nonchalant': 0.008333333333333333, 'UNI_diners': 0.008333333333333333, 'UNI_eating': 0.008333333333333333, 'UNI_food': 0.008333333333333333, 'UNI_there': 0.008333333333333333, 'UNI_pretention': 0.008333333333333333, 'UNI_just': 0.008333333333333333, 'UNI_during': 0.008333333333333333, 'UNI_weekend': 0.008333333333333333, 'UNI_brunchs': 0.008333333333333333, 'UNI_local': 0.008333333333333333, 'UNI_homosexuals': 0.008333333333333333, 'UNI_gather': 0.008333333333333333, 'UNI_like': 0.008333333333333333, 'UNI_flocks': 0.008333333333333333, 'UNI_flamingoes': 0.008333333333333333, 'UNI_nursing': 0.008333333333333333, 'UNI_hangovers': 0.008333333333333333, 'UNI_night': 0.008333333333333333, 'UNI_think': 0.008333333333333333, 'UNI_adds': 0.008333333333333333, 'UNI_character': 0.008333333333333333, 'UNI_who': 0.008333333333333333, 'UNI_needs': 0.008333333333333333, 'UNI_dulce': 0.008333333333333333, 'UNI_spago': 0.008333333333333333, 'UNI_anyway': 0.008333333333333333, 'UNI_as': 0.008333333333333333, 'UNI_high': 0.008333333333333333, 'UNI_maintenance': 0.008333333333333333, 'UNI_prefer': 0.008333333333333333}
positive  	{'Negative Emotion': 2.127659574468085, 'Positive Emotion': 6.382978723404255, 'liwc:positive': 1, 'UNI_what': 0.02127659574468085, 'UNI_great': 0.02127659574468085, 'UNI_place': 0.06382978723404255, 'UNI_find': 0.0425531914893617, 'UNI_genuine': 0.02127659574468085, 'UNI_italian': 0.06382978723404255, 'UNI_cooking': 0.02127659574468085, 'UNI_if': 0.0425531914893617, 'UNI_used': 0.02127659574468085, 'UNI_crusty': 0.02127659574468085, 'UNI_bread': 0.02127659574468085, 'UNI_homemade': 0.02127659574468085, 'UNI_sauces': 0.02127659574468085, 'UNI_real': 0.02127659574468085, 'UNI_ingredients': 0.02127659574468085, 'UNI_the': 0.02127659574468085, 'UNI_people': 0.02127659574468085, 'UNI_friendly': 0.02127659574468085, 'UNI_nice': 0.02127659574468085, 'UNI_atmosphere': 0.02127659574468085, 'UNI_nothing': 0.02127659574468085, 'UNI_pretentious': 0.02127659574468085, 'UNI_simple': 0.02127659574468085, 'UNI_prices': 0.02127659574468085, 'UNI_interested': 0.02127659574468085, 'UNI_profit': 0.02127659574468085, 'UNI_i': 0.0425531914893617, 'UNI_moved': 0.02127659574468085, 'UNI_jersey': 0.02127659574468085, 'UNI_roanoke': 0.0425531914893617, 'UNI_virginia': 0.02127659574468085, 'UNI_thought': 0.02127659574468085, 'UNI_would': 0.02127659574468085, 'UNI_never': 0.02127659574468085, 'UNI_far': 0.02127659574468085, 'UNI_south': 0.02127659574468085, 'UNI_area': 0.02127659574468085, "UNI_n't": 0.02127659574468085, 'UNI_miss': 0.02127659574468085}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.064516129032258, 'liwc:positive': 1, 'UNI_excellent': 0.03225806451612903, 'UNI_authentic': 0.016129032258064516, 'UNI_chinese': 0.016129032258064516, 'UNI_food': 0.03225806451612903, 'UNI_great': 0.04838709677419355, 'UNI_service': 0.016129032258064516, 'UNI_servers': 0.016129032258064516, 'UNI_always': 0.016129032258064516, 'UNI_attentive': 0.016129032258064516, 'UNI_needs': 0.016129032258064516, 'UNI_buffets': 0.016129032258064516, 'UNI_lunch': 0.016129032258064516, 'UNI_dinner': 0.016129032258064516, 'UNI_also': 0.03225806451612903, 'UNI_ordering': 0.016129032258064516, 'UNI_la': 0.016129032258064516, 'UNI_cart': 0.016129032258064516, 'UNI_allowed': 0.016129032258064516, 'UNI_place': 0.016129032258064516, 'UNI_simple': 0.016129032258064516, 'UNI_affordable': 0.016129032258064516, 'UNI_clean': 0.016129032258064516, 'UNI_hot': 0.016129032258064516, 'UNI_times': 0.016129032258064516, 'UNI_from': 0.016129032258064516, 'UNI_egg': 0.03225806451612903, 'UNI_drop': 0.016129032258064516, 'UNI_wonton': 0.016129032258064516, 'UNI_soup': 0.016129032258064516, 'UNI_orange': 0.016129032258064516, 'UNI_peel': 0.016129032258064516, 'UNI_beef': 0.016129032258064516, 'UNI_curry': 0.016129032258064516, 'UNI_san': 0.016129032258064516, 'UNI_yan': 0.016129032258064516, 'UNI_their': 0.016129032258064516, 'UNI_sweet': 0.016129032258064516, 'UNI_sour': 0.016129032258064516, 'UNI_kung': 0.016129032258064516, 'UNI_pao': 0.016129032258064516, 'UNI_spicy': 0.016129032258064516, 'UNI_tasty': 0.016129032258064516, 'UNI_vegetarian': 0.016129032258064516, 'UNI_selection': 0.016129032258064516, 'UNI_menu': 0.016129032258064516, 'UNI_some': 0.016129032258064516, 'UNI_thai': 0.016129032258064516, 'UNI_dishes': 0.016129032258064516, 'UNI_available': 0.016129032258064516, 'UNI_oh': 0.016129032258064516, 'UNI_rolls': 0.016129032258064516, 'UNI_bbq': 0.016129032258064516, 'UNI_spareribs': 0.016129032258064516, 'UNI_people': 0.016129032258064516, 'UNI_friendly': 0.016129032258064516, 'UNI_courteous': 0.016129032258064516}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 33.333333333333336, 'liwc:positive': 1, 'UNI_everything': 0.3333333333333333, 'UNI_was': 0.3333333333333333, 'UNI_great': 0.3333333333333333}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 10.0, 'liwc:positive': 1, 'UNI_this': 0.025, 'UNI_favorite': 0.025, 'UNI_mexican': 0.025, 'UNI_restaurant': 0.025, 'UNI_cherry': 0.025, 'UNI_hill': 0.025, 'UNI_area': 0.025, 'UNI_great': 0.075, 'UNI_fajitas': 0.025, 'UNI_chimichangas': 0.025, 'UNI_if': 0.025, 'UNI_get': 0.025, 'UNI_strawberry': 0.025, 'UNI_margarita': 0.025, 'UNI_ask': 0.025, 'UNI_middle': 0.025, 'UNI_shelf': 0.05, 'UNI_top': 0.025, 'UNI_brand': 0.05, 'UNI_the': 0.025, 'UNI_house': 0.025, "UNI_n't": 0.025, 'UNI_good': 0.025, 'UNI_my': 0.025, 'UNI_girlfriend': 0.025, 'UNI_says': 0.025, 'UNI_corn': 0.025, 'UNI_chowder': 0.025, 'UNI_soup': 0.025, 'UNI_cilantro': 0.025, 'UNI_salad': 0.025, 'UNI_dressing': 0.025, 'UNI_also': 0.025, 'UNI_try': 0.025, 'UNI_quesadilla': 0.025, 'UNI_appetizer': 0.025}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.474576271186441, 'liwc:positive': 1, 'UNI_mccormick': 0.05084745762711865, 'UNI_schmick': 0.05084745762711865, 'UNI_one': 0.05084745762711865, 'UNI_favorite': 0.01694915254237288, 'UNI_seafood': 0.05084745762711865, 'UNI_restaurants': 0.01694915254237288, 'UNI_chicago': 0.05084745762711865, 'UNI_i': 0.03389830508474576, 'UNI_went': 0.01694915254237288, 'UNI_recently': 0.01694915254237288, 'UNI_group': 0.01694915254237288, 'UNI_friends': 0.01694915254237288, 'UNI_quite': 0.01694915254237288, 'UNI_pleased': 0.01694915254237288, 'UNI_quality': 0.01694915254237288, 'UNI_food': 0.01694915254237288, 'UNI_service': 0.01694915254237288, 'UNI_atmosphere': 0.01694915254237288, 'UNI_best': 0.01694915254237288, 'UNI_features': 0.01694915254237288, 'UNI_m': 0.01694915254237288, 'UNI_s': 0.01694915254237288, 'UNI_flown': 0.01694915254237288, 'UNI_fresh': 0.01694915254237288, 'UNI_daily': 0.01694915254237288, 'UNI_there': 0.01694915254237288, 'UNI_number': 0.01694915254237288, 'UNI_different': 0.01694915254237288, 'UNI_dinner': 0.01694915254237288, 'UNI_combinations': 0.01694915254237288, 'UNI_well': 0.03389830508474576, 'UNI_side': 0.01694915254237288, 'UNI_dishes': 0.01694915254237288, 'UNI_if': 0.01694915254237288, 'UNI_lover': 0.01694915254237288, 'UNI_would': 0.01694915254237288, 'UNI_worth': 0.01694915254237288, 'UNI_time': 0.01694915254237288, 'UNI_stop': 0.01694915254237288, 'UNI_chestnut': 0.01694915254237288, 'UNI_st': 0.01694915254237288, 'UNI_two': 0.01694915254237288, 'UNI_blocks': 0.01694915254237288, 'UNI_west': 0.01694915254237288, 'UNI_john': 0.01694915254237288, 'UNI_hancock': 0.01694915254237288, 'UNI_building': 0.01694915254237288}
positive  	{'Negative Emotion': 6.25, 'Positive Emotion': 31.25, 'liwc:positive': 1, 'UNI_such': 0.0625, 'UNI_fun': 0.0625, 'UNI_food': 0.0625, 'UNI_ok.': 0.0625, 'UNI_not': 0.0625, 'UNI_great': 0.125, 'UNI_bad': 0.0625, 'UNI_but': 0.0625, 'UNI_place': 0.0625, 'UNI_joy': 0.0625, 'UNI_corney': 0.0625, 'UNI_entertaining': 0.0625, 'UNI_value': 0.0625, 'UNI_money': 0.0625, 'UNI_spent': 0.0625}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 10.0, 'liwc:positive': 1, 'UNI_very': 0.1, 'UNI_good': 0.1, 'UNI_place': 0.1, 'UNI_somewhat': 0.1, 'UNI_costly': 0.1, 'UNI_unless': 0.1, 'UNI_take': 0.1, 'UNI_consideration': 0.1, 'UNI_service': 0.1, 'UNI_comes': 0.1}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 11.538461538461538, 'liwc:positive': 1, 'UNI_went': 0.038461538461538464, 'UNI_little': 0.038461538461538464, 'UNI_restaurant': 0.038461538461538464, 'UNI_twice': 0.038461538461538464, 'UNI_it': 0.038461538461538464, 'UNI_great': 0.038461538461538464, 'UNI_place': 0.038461538461538464, 'UNI_charming': 0.038461538461538464, 'UNI_garden': 0.038461538461538464, 'UNI_eat': 0.038461538461538464, 'UNI_back': 0.038461538461538464, 'UNI_the': 0.038461538461538464, 'UNI_service': 0.038461538461538464, 'UNI_courteous': 0.038461538461538464, 'UNI_food': 0.038461538461538464, 'UNI_really': 0.038461538461538464, 'UNI_good': 0.038461538461538464, 'UNI_a': 0.038461538461538464, 'UNI_lot': 0.038461538461538464, 'UNI_spicy': 0.038461538461538464, 'UNI_dishes': 0.038461538461538464, 'UNI_amateurs': 0.038461538461538464, 'UNI_delicious': 0.038461538461538464, 'UNI_spring': 0.038461538461538464, 'UNI_roll': 0.038461538461538464, 'UNI_appetizers': 0.038461538461538464}
positive  	{'Negative Emotion': 1.1363636363636365, 'Positive Emotion': 5.681818181818182, 'liwc:positive': 1, 'UNI_sorry': 0.011494252873563218, 'UNI_enought': 0.04597701149425287, 'UNI_time': 0.034482758620689655, 'UNI_spend': 0.011494252873563218, 'UNI_try': 0.022988505747126436, 'UNI_wonderful': 0.011494252873563218, 'UNI_dishes': 0.011494252873563218, 'UNI_bonadies': 0.011494252873563218, 'UNI_restaurant': 0.022988505747126436, 'UNI_really': 0.022988505747126436, 'UNI_walk': 0.011494252873563218, 'UNI_hour': 0.011494252873563218, 'UNI_long': 0.011494252873563218, 'UNI_dinner': 0.011494252873563218, 'UNI_the': 0.011494252873563218, 'UNI_owner': 0.011494252873563218, 'UNI_hotel': 0.022988505747126436, 'UNI_delicious': 0.011494252873563218, 'UNI_man': 0.011494252873563218, 'UNI_let': 0.011494252873563218, 'UNI_us': 0.022988505747126436, 'UNI_quite': 0.011494252873563218, 'UNI_menu-choise..': 0.011494252873563218, 'UNI_relax': 0.011494252873563218, 'UNI_relaxing': 0.011494252873563218, 'UNI_terrace': 0.011494252873563218, 'UNI_stunning': 0.011494252873563218, 'UNI_view': 0.011494252873563218, 'UNI_coast': 0.011494252873563218, 'UNI_well': 0.022988505747126436, 'UNI_went': 0.011494252873563218, 'UNI_round': 0.011494252873563218, 'UNI_normal': 0.011494252873563218, 'UNI_visiting': 0.011494252873563218, 'UNI_girls': 0.011494252873563218, 'UNI_desk': 0.011494252873563218, 'UNI_helpfull': 0.011494252873563218, 'UNI_arranging': 0.011494252873563218, 'UNI_transportation': 0.011494252873563218, 'UNI_dailydream': 0.011494252873563218, 'UNI_go': 0.022988505747126436, 'UNI_back': 0.022988505747126436, 'UNI_soon': 0.022988505747126436, 'UNI_one': 0.011494252873563218, 'UNI_week': 0.011494252873563218, 'UNI_people': 0.011494252873563218, 'UNI_something': 0.011494252873563218, 'UNI_all': 0.011494252873563218, 'UNI_smiling': 0.011494252873563218, 'UNI_seem': 0.011494252873563218, 'UNI_happy': 0.022988505747126436, 'UNI_involved': 0.011494252873563218, 'UNI_big': 0.011494252873563218, 'UNI_plan': 0.011494252873563218, 'UNI_make': 0.011494252873563218, 'UNI_anytime': 0.011494252873563218, 'UNI_we': 0.011494252873563218, 'UNI_discovered': 0.011494252873563218, 'UNI_also': 0.011494252873563218, 'UNI_international': 0.011494252873563218, 'UNI_management': 0.011494252873563218, 'UNI_certification': 0.011494252873563218, 'UNI_citation': 0.011494252873563218, 'UNI_office': 0.011494252873563218, 'UNI_president': 0.011494252873563218, 'UNI_brooklin-': 0.011494252873563218, 'UNI_certificate': 0.011494252873563218, 'UNI_brooklin': 0.011494252873563218, 'UNI_association': 0.011494252873563218, 'UNI_done': 0.011494252873563218, 'UNI_ahead': 0.011494252873563218, 'UNI_way': 0.011494252873563218}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 16.0, 'liwc:positive': 1, 'UNI_what': 0.04, 'UNI_pleasant': 0.04, 'UNI_evening': 0.04, 'UNI_chicago': 0.04, 'UNI_i': 0.08, 'UNI_ordered': 0.04, 'UNI_16': 0.04, 'UNI_oz': 0.04, 'UNI_prime': 0.04, 'UNI_rib': 0.04, 'UNI_delicious': 0.04, 'UNI_could': 0.04, "UNI_n't": 0.04, 'UNI_even': 0.04, 'UNI_eat': 0.04, 'UNI_the': 0.04, 'UNI_baked': 0.04, 'UNI_potato': 0.04, 'UNI_awesome': 0.04, 'UNI_staff': 0.04, 'UNI_really': 0.04, 'UNI_friendly': 0.04, 'UNI_would': 0.04, 'UNI_return': 0.04}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 4.316546762589928, 'liwc:positive': 1, 'UNI_my': 0.007194244604316547, 'UNI_date': 0.007194244604316547, 'UNI_i': 0.007194244604316547, 'UNI_decided': 0.007194244604316547, 'UNI_travel': 0.007194244604316547, 'UNI_jersey': 0.007194244604316547, 'UNI_shore': 0.014388489208633094, 'UNI_stumled': 0.007194244604316547, 'UNI_upon': 0.014388489208633094, 'UNI_riccardo': 0.014388489208633094, 'UNI_pizza': 0.014388489208633094, 'UNI_italian': 0.007194244604316547, 'UNI_eatery': 0.007194244604316547, 'UNI_entry': 0.007194244604316547, 'UNI_walked': 0.014388489208633094, 'UNI_area': 0.007194244604316547, 'UNI_we': 0.02877697841726619, 'UNI_took': 0.007194244604316547, 'UNI_notice': 0.007194244604316547, 'UNI_thought': 0.007194244604316547, 'UNI_pizzeria': 0.007194244604316547, 'UNI_wow': 0.007194244604316547, 'UNI_mistaken': 0.007194244604316547, 'UNI_when': 0.007194244604316547, 'UNI_dining': 0.007194244604316547, 'UNI_roon': 0.007194244604316547, 'UNI_noticed': 0.007194244604316547, 'UNI_granite': 0.007194244604316547, 'UNI_floors': 0.007194244604316547, 'UNI_marble': 0.007194244604316547, 'UNI_walls': 0.014388489208633094, 'UNI_the': 0.014388489208633094, 'UNI_side': 0.007194244604316547, 'UNI_done': 0.014388489208633094, 'UNI_murals': 0.007194244604316547, 'UNI_local': 0.007194244604316547, 'UNI_artist': 0.007194244604316547, 'UNI_depicting': 0.007194244604316547, 'UNI_sicilian': 0.007194244604316547, 'UNI_setting': 0.007194244604316547, 'UNI_there': 0.007194244604316547, 'UNI_also': 0.007194244604316547, 'UNI_authentic': 0.007194244604316547, 'UNI_espresso': 0.007194244604316547, 'UNI_cappuccino': 0.007194244604316547, 'UNI_bar': 0.007194244604316547, 'UNI_along': 0.007194244604316547, 'UNI_allll': 0.007194244604316547, 'UNI_torani': 0.007194244604316547, 'UNI_syrups': 0.007194244604316547, 'UNI_coffees': 0.007194244604316547, 'UNI_owner': 0.007194244604316547, 'UNI_went': 0.007194244604316547, 'UNI_great': 0.007194244604316547, 'UNI_lenghts': 0.007194244604316547, 'UNI_decorate': 0.007194244604316547, 'UNI_place': 0.007194244604316547, 'UNI_ordered': 0.007194244604316547, 'UNI_chef': 0.03597122302158273, 'UNI_specials': 0.007194244604316547, 'UNI_waiter': 0.007194244604316547, 'UNI_good': 0.007194244604316547, 'UNI_well': 0.007194244604316547, 'UNI_informed': 0.007194244604316547, 'UNI_asked': 0.007194244604316547, 'UNI_speak': 0.007194244604316547, 'UNI_came': 0.014388489208633094, 'UNI_immedietly': 0.007194244604316547, 'UNI_althogh': 0.007194244604316547, 'UNI_busy': 0.007194244604316547, 'UNI_kitchen': 0.007194244604316547, 'UNI_looking': 0.007194244604316547, 'UNI_like': 0.007194244604316547, 'UNI_actor': 0.007194244604316547, 'UNI_model': 0.007194244604316547, 'UNI_he': 0.007194244604316547, 'UNI_arroagant': 0.007194244604316547, 'UNI_look': 0.007194244604316547, 'UNI_cherming': 0.007194244604316547, 'UNI_answered': 0.007194244604316547, 'UNI_questions': 0.007194244604316547, 'UNI_orderd': 0.007194244604316547, 'UNI_thecollasal': 0.007194244604316547, 'UNI_shrimp': 0.007194244604316547, 'UNI_ala': 0.007194244604316547, 'UNI_vito': 0.007194244604316547, 'UNI_name': 0.007194244604316547, 'UNI_veal': 0.007194244604316547, 'UNI_wich': 0.014388489208633094, 'UNI_stuffed': 0.007194244604316547, 'UNI_lobster': 0.007194244604316547, 'UNI_crabmeat': 0.007194244604316547, 'UNI_excellent': 0.007194244604316547, 'UNI_what': 0.007194244604316547, 'UNI_say': 0.007194244604316547, 'UNI_dessert': 0.007194244604316547, 'UNI_made': 0.007194244604316547, 'UNI_homemade': 0.007194244604316547, 'UNI_so': 0.007194244604316547, 'UNI_next': 0.007194244604316547, 'UNI_time': 0.007194244604316547, 'UNI_browns': 0.007194244604316547, 'UNI_mills': 0.007194244604316547, 'UNI_driving': 0.007194244604316547, 'UNI_n.j': 0.007194244604316547, 'UNI_cranberry': 0.007194244604316547, 'UNI_festival': 0.007194244604316547, 'UNI_make': 0.007194244604316547, 'UNI_sure': 0.007194244604316547, 'UNI_stop': 0.007194244604316547, 'UNI_surprised': 0.007194244604316547, 'UNI_incredible': 0.007194244604316547, 'UNI_food': 0.007194244604316547, 'UNI_possibly': 0.007194244604316547, 'UNI_one': 0.007194244604316547, 'UNI_best': 0.014388489208633094, 'UNI_kept': 0.007194244604316547, 'UNI_secret': 0.007194244604316547, 'UNI_nj': 0.007194244604316547, 'UNI_buon': 0.007194244604316547, 'UNI_apetito': 0.007194244604316547}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 0, 'liwc:negative': 1, 'UNI_wonderful': 0.2, 'UNI_hole-in-the-wall': 0.2, 'UNI_diner': 0.2, 'UNI_go': 0.2, 'UNI_there': 0.2}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 4.285714285714286, 'liwc:positive': 1, 'UNI_we': 0.02857142857142857, 'UNI_eaten': 0.014285714285714285, 'UNI_lot': 0.014285714285714285, 'UNI_restaurants': 0.014285714285714285, 'UNI_time': 0.014285714285714285, 'UNI_vito': 0.04285714285714286, 'UNI_definately': 0.02857142857142857, 'UNI_serves': 0.014285714285714285, 'UNI_best': 0.014285714285714285, 'UNI_love': 0.014285714285714285, 'UNI_garlic': 0.014285714285714285, 'UNI_knots': 0.014285714285714285, 'UNI_rice': 0.014285714285714285, 'UNI_balls': 0.014285714285714285, 'UNI_everything': 0.014285714285714285, 'UNI_tried': 0.014285714285714285, 'UNI_menu': 0.014285714285714285, 'UNI_the': 0.014285714285714285, 'UNI_wait': 0.014285714285714285, 'UNI_staff': 0.014285714285714285, 'UNI_excellent': 0.014285714285714285, 'UNI_courteous': 0.014285714285714285, 'UNI_somehow': 0.014285714285714285, 'UNI_always': 0.04285714285714286, 'UNI_manages': 0.02857142857142857, 'UNI_find': 0.014285714285714285, 'UNI_singing': 0.014285714285714285, 'UNI_head': 0.014285714285714285, 'UNI_waiter': 0.014285714285714285, 'UNI_from': 0.014285714285714285, 'UNI_outside': 0.014285714285714285, 'UNI_riccardo': 0.04285714285714286, 'UNI_gives': 0.014285714285714285, 'UNI_impression': 0.014285714285714285, 'UNI_another': 0.014285714285714285, 'UNI_pizzeria': 0.014285714285714285, 'UNI_inside': 0.014285714285714285, 'UNI_adventure': 0.014285714285714285, 'UNI_fine': 0.014285714285714285, 'UNI_dining': 0.014285714285714285, 'UNI_in': 0.014285714285714285, 'UNI_husband': 0.014285714285714285, 'UNI_work': 0.014285714285714285, 'UNI_speaks': 0.014285714285714285, 'UNI_people': 0.014285714285714285, 'UNI_country': 0.014285714285714285, 'UNI_finds': 0.014285714285714285, 'UNI_someone': 0.014285714285714285, 'UNI_nj': 0.014285714285714285, 'UNI_recommends': 0.014285714285714285, 'UNI_visit': 0.014285714285714285, 'UNI_customers': 0.014285714285714285, 'UNI_asking': 0.014285714285714285, 'UNI_give': 0.014285714285714285, 'UNI_personal': 0.014285714285714285, 'UNI_touch': 0.014285714285714285, 'UNI_establishments': 0.014285714285714285, "UNI_n't": 0.014285714285714285, 'UNI_offer': 0.014285714285714285, 'UNI_place': 0.014285714285714285, 'UNI_passed': 0.014285714285714285}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 0, 'liwc:negative': 1, 'UNI_what': 0.09090909090909091, 'UNI_wonderful': 0.09090909090909091, 'UNI_restaurant': 0.09090909090909091, 'UNI_excellent': 0.09090909090909091, 'UNI_food': 0.09090909090909091, 'UNI_they': 0.09090909090909091, 'UNI_serve': 0.09090909090909091, 'UNI_huge': 0.09090909090909091, 'UNI_portions': 0.09090909090909091, 'UNI_price': 0.09090909090909091, 'UNI_inexpensive': 0.09090909090909091}
